,target,prompt
0,Ariel,"popular, Disney, beauty, princess, innocent, mermaid, bright, royal, fantasy, animated, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, Osamu Tezuka, classic, strong, adventure, machine, science fiction, cartoon"
2,Batman,"dark, black, superhero, night, strong, Gotham, iconic, detective, mask, mysterious, cartoon"
3,Black Panther,"Black, panther, power, Marvel, African, king, leader, superhero, modern, Wakanda, cartoon"
4,Bulbasaur,"game, Pokémon, blue, evolution, starter, green, Nintendo, popular, eyes, powerful, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, animated, cartoon, friendly, Space ranger, iconic, infinity and beyond, cartoon"
6,Captain America,"soldier, American, red, white, strong, stars, Shield, blue, iconic, World War II, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, fast, hero, special moves, competitive, Chinese, justice, strategy, cartoon"
8,Cinderella,"beauty, prince, poor, castle, dance, fantasy, fairy tale, charming, sisters, midnight, cartoon"
9,Cuphead,"1930s, Cartoon, Platformer, Run-and-gun, Challenging, Hand-drawn, Retro, Animated, Boss battles, Colorful, cartoon"
10,Donald Duck,"Disney, cartoon, classic, animated, famous, happy, funny, beloved, iconic, anthropomorphic, cartoon"
11,Doraemon,"Japan, anime, manga, character, popular, animation, cat, Blue, adventure, robot, cartoon"
12,Elsa,"Frozen, Disney, Snow, Magic, Powers, Cool, Winter, Icy, Silver, Fantasy, cartoon"
13,Goofy,"character, funny, silly, dog, friendly, male, Disney, animated, cartoon, Tall, cartoon"
14,Groot,"green, natural, ancient, guardian, wise, humanoid, Tree-like, branches, wooden, organic, cartoon"
15,Hulk,"Marvel, Green, strong, superhero, giant, powerful, massive, strength, angry, solid, cartoon"
16,Iron Man,"superhero, iconic, helmet, futuristic, high-tech, exoskeleton, Stark Industries, Arc reactor, robotics, metallic, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, kind, small, young, mammal, adventure, cartoon"
18,Kirby,"small, simple, round, fantasy, flying, friendly, iconic, bright, sweet, animated, cartoon"
19,Kung Fu Panda,"panda, animated, DreamWorks, action, Chinese, funny, powerful, traditional, friendly, warrior, cartoon"
20,Lightning McQueen,"Disney, Pixar, animated, Red, popular, fast, speed, race car, friendly, motor, cartoon"
21,Link,"young, map, hero, cap, shield, hearts, belt, sword, brave, bombs, cartoon"
22,Maleficent,"fairy tale, elegant, protective, Disney character, mystical, menacing, costume design, gothic, fearsome, misunderstood, cartoon"
23,Mario,"Nintendo, Italian, video games, hero, Cap, jumping, iconic, platformer, coins, Bowser, cartoon"
24,Mickey Mouse,"Disney, character, white, black, popular, fun, Walt Disney, red, happy, magic, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, film, Pixar, character, monster, animated, small, Green, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, captain, young, powerful, leader, loyal, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, animated, superhero, strong, powerful, father, iconic, fit, massive, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Shadow clone, Screaming, Inspiring, Determination, Rasengan, Seventh Hokage, cartoon"
29,Nemo,"movie, small, character, lost, white, animated, animated, popular, Pixar, sea, cartoon"
30,Olaf,"small, frozen, Disney, white, happy, magic, Snowman, unique, round, animated, cartoon"
31,Pac-Man,"arcade, video game, classic, level, score, round, 1980s, retro, eat, Namco, cartoon"
32,Peter Pan,"fantasy, hero, island, adventures, Neverland, flying, magical, freedom, Captain Hook, leader, cartoon"
33,Piglet,"small, pig, friend, character, simple, Winnie the Pooh, tiny, cute, Pink, soft, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, anime, yellow, short, electric, round, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, animated, beautiful, Agrabah, cultural, palace, Arabian, cartoon, cartoon"
36,Puss in boots,"Boots, animated, hero, legend, fairy tale, walking, sword, hat, charming, standing, cartoon"
37,Rapunzel,"princess, beautiful, tower, magical, blonde, classic, fantasy, charming, traditional, tall, cartoon"
38,Snow White,"love, Disney, beauty, magic, princess, animated, classic, prince, fantasy, seven dwarfs, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, running, Genesis, speed, fast, cool, cartoon"
40,Spider-Man,"superhero, young, New York, Marvel Comics, costume, iconic, mask, genius, teenager, swinging, cartoon"
41,SpongeBob SquarePants,"cartoon, animated, Nickelodeon, fun, sea, square, yellow, Bikini Bottom, Squidward, Gary, cartoon"
42,Squirtle,"Pokémon, small, blue, popular, tough, evolution, Blastoise, anime, tail, cute, cartoon"
43,Thanos,"Marvel, space, villain, cosmic, powerful, alien, Infinity Gauntlet, Titan, Infinity Stones, Mad Titan, cartoon"
44,Thor,"hero, powerful, hammer, strength, ancient, thunder, metal, warrior, armor, legendary, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, light, animated, magical, fantasy, tiny, wings, flight, cartoon"
46,Wall-E,"film, Pixar, Robot, small, short, animated, adventure, friendly, cute, metal, cartoon"
47,Winnie-the-Pooh ,"Bear, Animated, Classic, Simple, English, Cartoon, Traditional, Round, Beloved, Friendly, cartoon"
48,Woody,"star, character, brown, wood, Western, friendly, Disney, Andy, toy, iconic, cartoon"
49,Yoda,"Star Wars, Cute, small, soft, green, adorable, alien, robe, meme, popular, cartoon"
