,target,prompt
0,Ariel,"mermaid, Disney, princess, cartoon"
1,Astro Boy,"anime, manga, Japanese, cartoon"
2,Batman,"dark, black, Gotham, cartoon"
3,Black Panther,"Black, panther, Marvel, cartoon"
4,Bulbasaur,"anime, Pokémon, game, cartoon"
5,Buzz Lightyear,"toy, Toy Story, Disney, cartoon"
6,Captain America,"soldier, Shield, red, cartoon"
7,Chun-Li,"Street Fighter, Capcom, Chinese, cartoon"
8,Cinderella,"castle, prince, charming, cartoon"
9,Cuphead,"Cartoon, Animated, Retro, cartoon"
10,Donald Duck,"Disney, cartoon, vintage, cartoon"
11,Doraemon,"cute, anime, Japan, cartoon"
12,Elsa,"Frozen, Disney, Snow, cartoon"
13,Goofy,"Disney, funny, dog, cartoon"
14,Groot,"guardian, green, wooden, cartoon"
15,Hulk,"Marvel, superhero, Green, cartoon"
16,Iron Man,"superhero, helmet, Arc reactor, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, cartoon"
18,Kirby,"cute, round, Pink, cartoon"
19,Kung Fu Panda,"panda, DreamWorks, Chinese, cartoon"
20,Lightning McQueen,"Disney, Pixar, Red, cartoon"
21,Link,"Zelda, belt, map, cartoon"
22,Maleficent,"fairy tale, gothic, Disney character, cartoon"
23,Mario,"Nintendo, Bowser, Yoshi, cartoon"
24,Mickey Mouse,"Disney, clubhouse, red, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, Disney, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, cartoon"
28,Naruto,"Ninja, Headband, Sage mode, cartoon"
29,Nemo,"fish, Pixar, sea, cartoon"
30,Olaf,"frozen, Disney, Snowman, cartoon"
31,Pac-Man,"arcade, ghost, video game, cartoon"
32,Peter Pan,"Neverland, Captain Hook, Tinker Bell, cartoon"
33,Piglet,"Winnie the Pooh, pig, cute, cartoon"
34,Pikachu,"Pokémon, cute, anime, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, cartoon"
36,Puss in boots,"Boots, fairy tale, animated, cartoon"
37,Rapunzel,"princess, tower, classic, cartoon"
38,Snow White,"Disney, seven dwarfs, princess, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, tails, cartoon"
40,Spider-Man,"costume, Marvel Comics, superhero, cartoon"
41,SpongeBob SquarePants,"Bikini Bottom, Nickelodeon, cartoon, cartoon"
42,Squirtle,"Pokémon, anime, cute, cartoon"
43,Thanos,"Marvel, Infinity Gauntlet, Titan, cartoon"
44,Thor,"hammer, thunder, god of thunder, cartoon"
45,Tinker Bell,"Disney, Fairy, Peter Pan, cartoon"
46,Wall-E,"Pixar, Robot, film, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, Plush, cartoon"
48,Woody,"toy, Toy Story, Disney, cartoon"
49,Yoda,"Star Wars, The Mandalorian, The Child, cartoon"
