,target,prompt
0,Ariel,"popular, beauty, bright, royal, innocent, cartoon"
1,Astro Boy,"Japanese, anime, manga, robot, adventure, cartoon"
2,Batman,"dark, black, night, strong, superhero, cartoon"
3,Black Panther,"Black, panther, power, Marvel, king, cartoon"
4,Bulbasaur,"Pokémon, game, blue, starter, green, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, animated, Pixar, cartoon"
6,Captain America,"American, soldier, red, white, strong, cartoon"
7,Chun-Li,"Street Fighter, Capcom, fast, powerful, Chinese, cartoon"
8,Cinderella,"beauty, dance, poor, prince, charming, cartoon"
9,Cuphead,"Cartoon, 1930s, Platformer, Animated, Challenging, cartoon"
10,Donald Duck,"Disney, happy, famous, classic, funny, cartoon"
11,Doraemon,"Japan, anime, manga, character, popular, cartoon"
12,Elsa,"Frozen, Magic, Winter, Snow, Cool, cartoon"
13,Goofy,"character, funny, dog, silly, friendly, cartoon"
14,Groot,"natural, green, ancient, wise, robust, cartoon"
15,Hulk,"Green, strong, Marvel, powerful, giant, cartoon"
16,Iron Man,"superhero, iconic, helmet, high-tech, futuristic, cartoon"
17,Judy Hopps,"Zootopia, Disney, bunny, animated, rabbit, cartoon"
18,Kirby,"small, simple, round, bright, friendly, cartoon"
19,Kung Fu Panda,"panda, animated, action, DreamWorks, funny, cartoon"
20,Lightning McQueen,"Disney, Pixar, fast, Red, animated, cartoon"
21,Link,"young, map, cap, hero, hearts, cartoon"
22,Maleficent,"fairy tale, elegant, protective, mystical, commanding, cartoon"
23,Mario,"Italian, Nintendo, hero, video games, Cap, cartoon"
24,Mickey Mouse,"Disney, white, fun, black, character, cartoon"
25,Mike Wazowski,"Mike, Monsters Inc, film, Disney, monster, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, pirate, Straw hat, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, strong, cartoon"
28,Naruto,"Ninja, Smile, Friendly, Transformation, Screaming, cartoon"
29,Nemo,"small, lost, white, character, movie, cartoon"
30,Olaf,"small, white, happy, unique, round, cartoon"
31,Pac-Man,"level, arcade, classic, video game, round, cartoon"
32,Peter Pan,"island, flying, fantasy, hero, imagination, cartoon"
33,Piglet,"small, pig, simple, friend, character, cartoon"
34,Pikachu,"Pokémon, series, character, red, small, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, beautiful, animated, cartoon"
36,Puss in boots,"Boots, animated, hero, walking, hat, cartoon"
37,Rapunzel,"beautiful, princess, tower, classic, magical, cartoon"
38,Snow White,"love, beauty, magic, dress, animals, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, video game, adventure, Blue, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, animated, Nickelodeon, sea, cartoon"
42,Squirtle,"Pokémon, blue, small, evolution, anime, cartoon"
43,Thanos,"Marvel, space, powerful, villain, cosmic, cartoon"
44,Thor,"powerful, hero, strength, ancient, hammer, cartoon"
45,Tinker Bell,"Disney, light, Fairy, magical, Peter Pan, cartoon"
46,Wall-E,"film, small, short, Pixar, animated, cartoon"
47,Winnie-the-Pooh ,"Bear, Simple, English, Classic, Round, cartoon"
48,Woody,"star, character, brown, wood, Western, cartoon"
49,Yoda,"The Mandalorian, Star Wars, Disney, The Child, small, cartoon"
