target,prompt
Ariel,"'Create a detailed image depicting a young female mermaid with vibrant red hair and a green tail. She should be seen underwater, surrounded by colorful marine life. Her features should be friendly and expressive, with clear blue eyes and a wide smile. To add a touch of fantasy, place her in a cavern filled with glittering treasures from sunken ships, illuminating the scene with a soft, ethereal light. She should be seen playing a musical instrument made from shells and seaweed. The style should be vibrant and fantastical, capturing the magical ambience of an undersea kingdom.'"
Astro Boy,"""Generate an image of a young, futuristic robot boy who is flying in the sky against a backdrop of a bustling city. The robot boy has a charming, boyish look, complete with large, expressive eyes and a round face. His body is sleek and metallic, with a color scheme of red, blue, and silver. On his feet, he has a pair of rocket boots that emit a fiery trail as he soars through the sky. He is waving cheerfully to the people below, his demeanor full of youthful energy and optimism. The city below him is a vibrant mix of futuristic and traditional architecture, filled with skyscrapers that stretch into the clouds and bustling streets filled with diverse people of different descents and genders."""
Batman,"""Create an image of a distinctive vigilante dressed in a black, bat-themed costume, standing on the edge of a high rooftop at night. The figure is muscular and tall, concealed under a dark cape that flows with the wind. The cityscape is behind him, bathed in the glow of the moon. He wears a mask with pointed ears on top, mimicking a bat, and his eyes, the only visible part of his face, are focused and determined. The emblem on his chest is a stylized bat. His tool belt is filled with various gadgets and devices."""
Black Panther,"""Generate an image of a superhero with a stylized panther-themed suit. This character is of African descent with a muscular physique, and his costume is predominantly black with silver accents. The suit is equipped with technological enhancements, including claws. The background is a futuristic cityscape, bathed in the soft glow of a setting sun, which showcases advanced technology co-existing with lush nature. The superhero stands in a dynamic pose, ready to leap into action, exuding authority and determination."""
Buzz Lightyear,"'Generate an image of a fictional space ranger, in a white and green suit, with a large dome-shaped helmet. The character should have a strong physique, and be standing in a heroic pose. His suit should have a built-in control panel on the left chest with multiple colored buttons, and he should have a red laser light on his right arm. The character's face should be stern and determined. The setting should be a planet with a futuristic city in the background and a star-filled sky.'"
Bulbasaur,"""Create a detailed image of a fantasy creature that resembles a small dinosaur with a large plant bulb on its back. The creature should have blue-green skin, distinct red eyes, and sharp triangular ears on the top of its head. It should be sitting in a lush, vibrant garden showcasing a wide variety of colorful flowers and tall, majestic trees. Make sure to convey a sense of friendliness and charm in the creature's demeanor. The garden should be bathed in soft, warm sunlight, creating an inviting and peaceful atmosphere."""
Captain America,"""Generate an image of a heroic figure, standing tall with a sense of pride and determination. The figure is a man with a Caucasian descent, donned in a patriotic outfit of red, white, and blue, equipped with a circular shield featuring a star in the center. His costume includes a helmet with a letter 'A' on it. He is in a classic superhero pose, with one hand on his hip and the other hand holding the shield. The background is a cityscape during the daytime, with the sun shining brightly, casting long shadows on the ground."""
Chun-Li,"""Generate an image of a female martial artist of East Asian descent. She is in her mid-thirties with long, thick black hair styled into two high buns. She is wearing a blue qipao, a traditional Chinese dress with side slits, modified to allow a greater range of movement. The dress is decorated with golden designs and white fur. Her muscular legs are highlighted by brown tights and flat, white boots. She is striking a confident fighting stance in a dojo, with determination in her eyes."""
Cuphead,"""Create an image of a whimsical character inspired by 1930s cartoons. This character should have the appearance of a walking, anthropomorphic teacup with a handle on the side of his head. He should have white gloves and both his eyes and mouth should be wide open with excitement. The character should be red and white, with a blue straw sticking out of his head. The background should be stylized, resembling an old-school, monochrome cartoon environment with rolling hills, fluffy clouds and a windmill in the distance."""
Donald Duck,"Create an image of a friendly anthropomorphic duck character who is not copyrighted. This duck character should be full of charm and personality, sporting a blue sailor shirt, red bow tie, and a sailor's hat. He should have a short temper but a good heart. He is standing in a lush green park with multi-colored flowers blooming in the background. Let's make the duck's feathers white, his beak and legs yellow-orange, and his eyes expressive and lively. This duck should be mid-stride, as if he is walking through the park."
Doraemon,"Create an image of a unique, friendly robot cat character, not Doraemon, but with its own distinctive features. This character is round-shaped, with a soft blue hue. It has a pair of large, round eyes that sparkle with joy and curiosity. Its small ears are located on top of its head, and it carries a magical, four-dimensional pocket on its belly, from which it can bring out a variety of futuristic gadgets. The background is a typical neighborhood scene with kids of diverse descents such as Hispanic, Middle-Eastern, and South Asian."
Elsa,"""Generate an image of a woman with a light complexion and platinum blonde hair arranged into a long, intricate braid. She's wearing a sparkling, long-sleeved, ice-blue dress that sparkles as if it's made of frost. Her eyes are a vivid blue, reflecting a sense of power and grace. She lifts her hands, conjuring a flurry of snowflakes spiraling around her. The background is a snowy landscape with the glow of the northern lights dancing in the sky."""
Goofy,"""Create an image of a tall, lanky anthropomorphic dog character with a distinctive southern drawl. This character should wear a turtleneck, pants, shoes and a hat. He should be portrayed as clumsy yet lovable, with a toothy grin and floppy ears. Make him standing in a humorous pose as if he's about to trip over his own feet."""
Groot,"'Generate an image of a tall, tree-like creature, towering above the surrounding foliage. The creature has a texture similar to tree bark, with its body covered in shades of rich, earthy brown. Small green leaves sprout from its head and arms, and its facial features are etched into the bark, including deep-set eyes and a wide mouth. It stands upright on two legs, its arms hanging by its sides, hands resembling gnarled branches. The creature is situated in a lush, dense forest, sunlight filtering through the dense leaf canopy above.'"
Hulk,"""Create an image of a large, muscular individual with an unusual green skin tone. This figure should be depicted in an action stance, showcasing his incredible strength, perhaps lifting a massive boulder or bending a steel beam. The figure's face should display an intense expression, indicating the exertion of his powerful abilities. His attire should consist of tattered shorts. The scene takes place in a cityscape, with buildings that have a slightly futuristic design."""
