,target,keyword
0,Ariel,Mermaid
1,Astro Boy,Robot
2,Batman,Human
3,Black Panther,Human
4,Bulbasaur,Pokemon
5,Buzz Lightyear,"Human, astronaut"
6,Captain America,Soldier
7,Chun-Li,"Human, Martial Artist"
8,Cinderella,Young woman
9,Cuphead,Human
10,Donald Duck,Duck
11,Doraemon,Cat
12,Elsa,human
13,Goofy,Dog
14,Groot,Flora
15,Hulk,Human
16,Iron Man,Engineer
17,Judy Hopps,Rabbit
18,Kirby,Alien
19,Kung Fu Panda,Panda
20,Lightning McQueen,Car
21,Link,human
22,Maleficent,human
23,Mario,Plumber
24,Mickey Mouse,Mouse
25,Mike Wazowski,Monster
26,Monkey D. Luffy,Human
27,Mr. Incredible,Middle-aged
28,Naruto,Teenager
29,Nemo,Fish
30,Olaf,Snowman
31,Pac-Man,Video game character
32,Peter Pan,child
33,Piglet,Pig
34,Pikachu,Mouse
35,Princess Jasmine,Human
36,Puss in boots,Cat
37,Rapunzel,Young
38,Snow White,Young
39,Sonic The Hedgehog,Hedgehog
40,Spider-Man,Human
41,SpongeBob SquarePants,Sponge
42,Squirtle,Turtle
43,Thanos,Human
44,Thor,God
45,Tinker Bell,Fairy
46,Wall-E,Robot
47,Winnie-the-Pooh ,Bear
48,Woody,Cowboy
49,baby yoda,Alien
