,target,prompt
0,Ariel,"popular, beauty, royal, princess, Disney, bright, mermaid, fantasy, ocean, crown, cartoon"
1,Astro Boy,"adventure, anime, Japanese, classic, robot, machine, manga, flying, retro, android, cartoon"
2,Batman,"black, dark, night, superhero, strong, detective, Gotham, mask, legendary, iconic, cartoon"
3,Black Panther,"Black, panther, Marvel, power, king, superhero, modern, African, leader, suit, cartoon"
4,Bulbasaur,"game, Pokémon, Nintendo, blue, green, anime, popular, evolution, monster, Venusaur, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, Pixar, cartoon, animated, friendly, boots, iconic, laser, cartoon"
6,Captain America,"red, white, American, blue, stars, soldier, strong, Shield, brave, vintage, cartoon"
7,Chun-Li,"Street Fighter, Capcom, hero, fast, justice, Chinese, detective, kung fu, competitive, powerful, cartoon"
8,Cinderella,"beauty, dance, prince, fantasy, castle, midnight, sisters, fairy tale, charming, poor, cartoon"
9,Cuphead,"Retro, Cartoon, Animated, Platformer, Vintage, Iconic, Challenging, Fast-paced, 1930s, Colorful, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon, animated, famous, vintage, funny, iconic, beloved, cartoon"
11,Doraemon,"adventure, popular, Japan, Blue, white, cat, anime, magic, round, character, cartoon"
12,Elsa,"Winter, Frozen, Disney, Cool, Snow, Silver, Magic, Chic, Fantasy, Elegant, cartoon"
13,Goofy,"funny, character, Disney, dog, friendly, silly, cartoon, animation, vintage, animated, cartoon"
14,Groot,"green, natural, guardian, organic, wise, woody, ancient, wooden, sustainable, seasonal, cartoon"
15,Hulk,"Marvel, Green, superhero, giant, strong, angry, powerful, savage, strength, massive, cartoon"
16,Iron Man,"superhero, iconic, helmet, metallic, robotics, futuristic, high-tech, cutting-edge, alloy, durability, cartoon"
17,Judy Hopps,"Zootopia, adventure, animated, small, Disney, smart, confident, courageous, young, rabbit, cartoon"
18,Kirby,"small, simple, round, sweet, fantasy, friendly, Pink, flying, bright, soft, cartoon"
19,Kung Fu Panda,"panda, action, animated, funny, warrior, DreamWorks, Chinese, friendly, Gi, bold, cartoon"
20,Lightning McQueen,"Disney, popular, Red, Pixar, fast, speed, animated, bright, race car, friendly, cartoon"
21,Link,"map, young, hero, hearts, cap, boots, belt, shield, puzzles, fairy, cartoon"
22,Maleficent,"gothic, fairy tale, elegant, winged, regal, protective, commanding, costume design, misunderstood, mystical, cartoon"
23,Mario,"Nintendo, hero, Italian, video games, Cap, iconic, coins, jumping, Yoshi, Bowser, cartoon"
24,Mickey Mouse,"Disney, white, black, red, popular, fun, happy, magic, classic, character, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, kids, small, Pixar, character, Green, film, monster, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, young, captain, pirate, friendly, brave, iconic, loyal, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, animated, father, strong, cartoon, fit, mask, powerful, cartoon"
28,Naruto,"Ninja, Friendly, Smile, Spirited, Growing up, Transformation, Heroic, Inspiring, Sandals, Blue eyes, cartoon"
29,Nemo,"white, small, sea, popular, movie, adventure, lost, fish, ocean, orange, cartoon"
30,Olaf,"white, small, happy, frozen, Disney, creative, magic, unique, round, friendly, cartoon"
31,Pac-Man,"classic, arcade, ghost, retro, level, video game, yellow, round, orange, circle, cartoon"
32,Peter Pan,"island, adventures, hero, fantasy, magical, flying, boots, shadow, Neverland, freedom, cartoon"
33,Piglet,"small, pig, friend, Pink, simple, cute, warm, soft, tiny, Winnie the Pooh, cartoon"
34,Pikachu,"Pokémon, series, red, character, short, yellow, cute, anime, fantasy, small, cartoon"
35,Princess Jasmine,"princess, Disney, Aladdin, beautiful, royal, cartoon, animated, Agrabah, palace, iconic, cartoon"
36,Puss in boots,"Boots, hero, legend, walking, sword, animated, hat, cape, defender, standing, cartoon"
37,Rapunzel,"princess, beautiful, classic, fantasy, magical, tower, medieval, traditional, charming, tall, cartoon"
38,Snow White,"love, beauty, Disney, princess, magic, classic, prince, animals, fantasy, dress, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, comics, Blue, hero, video game, rings, cool, fast, cartoon"
40,Spider-Man,"young, superhero, New York, Marvel Comics, costume, iconic, mask, urban, genius, Queens, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, sea, Nickelodeon, animated, shoes, square, yellow, Gary, Ocean, cartoon"
42,Squirtle,"Pokémon, blue, anime, popular, small, cute, Blastoise, evolution, video games, Wartortle, cartoon"
43,Thanos,"Marvel, space, alien, powerful, villain, Titan, Infinity Stones, Infinity Gauntlet, armor, cosmic, cartoon"
44,Thor,"hero, metal, powerful, hammer, warrior, thunder, ancient, boots, lightning, strength, cartoon"
45,Tinker Bell,"Disney, Fairy, fantasy, light, Peter Pan, cute, magical, wings, animated, tiny, cartoon"
46,Wall-E,"film, Pixar, adventure, small, short, animated, Robot, metal, cute, grey, cartoon"
47,Winnie-the-Pooh ,"Classic, Bear, English, Simple, Soft, Cute, Yellow, Cartoon, Round, Plush, cartoon"
48,Woody,"star, brown, wood, Western, character, Disney, Andy, friendly, vintage, toy, cartoon"
49,Yoda,"Star Wars, green, Cute, small, popular, adorable, robe, Disney, soft, fantasy, cartoon"
