,target,keyword
0,Ariel,"Red hair, mermaid, green tail, seashell bikini, youthful"
1,Astro Boy,"Jet-powered boots, pointy hair, red boots, round eyes, robotic"
2,Batman,"Cape, cowl, bat-symbol, utility belt, dark colors"
3,Black Panther,"Vibranium suit, claws, mask, necklace, stealthy"
4,Bulbasaur,"Bulbasaur, green, bulb, spots, quadruped"
5,Buzz Lightyear,"Space suit, helmet, white, green, wings"
6,Captain America,"Shield, costume, muscular, blue, star"
7,Chun-Li,"Blue qipao, ox-horn hair, spiked bracelets, muscular legs, combat boots"
8,Cinderella,"Glass slipper, ball gown, blonde hair, blue eyes, elegant"
9,Cuphead,"Cartoonish, 1930s animation style, hand-drawn, vibrant colors, rubber hose limbs"
10,Donald Duck,"Sailor suit, blue hat, orange bill, white feathers, red bow tie"
11,Doraemon,"Blue, robotic cat, round face, bell collar, pocket"
12,Elsa,"Ice, braid, blue dress, snowflake, pale skin"
13,Goofy,"Tall, floppy ears, green hat, orange shirt, buck teeth"
14,Groot,"Tree-like, towering, wooden, humanoid, branchy"
15,Hulk,"Green, muscular, giant, angry, powerful"
16,Iron Man,"Red, gold, armor, futuristic, helmet"
17,Judy Hopps,"Bunny, police uniform, blue eyes, gray fur, energetic"
18,Kirby,"Pink, round, small, simple, cheerful"
19,Kung Fu Panda,"Black-and-white, chubby, panda, martial-artist, animated"
20,Lightning McQueen,"Red, race car, number 95, sleek, sporty"
21,Link,"Green tunic, Hylian Shield, Master Sword, pointy ears, elf-like"
22,Maleficent,"Horns, cape, staff, cheekbones, black attire"
23,Mario,"Red hat, mustache, blue overalls, white gloves, plumber"
24,Mickey Mouse,"Red shorts, white gloves, round ears, cheerful smile, yellow shoes"
25,Mike Wazowski,"Green, one-eyed, round, small horns, toothy smile"
26,Monkey D. Luffy,"Straw hat, scar, red vest, sandals, rubber body"
27,Mr. Incredible,"Muscular, red suit, mask, superhero, strong"
28,Naruto,"Orange jumpsuit, spiky blond hair, blue eyes, whisker marks, headband"
29,Nemo,"Orange, white stripes, small, clownfish, fin"
30,Olaf,"Snowman, carrot nose, twig hair, coal buttons, white"
31,Pac-Man,"Yellow, circular, arcade, maze, ghosts"
32,Peter Pan,"Green tunic, feathered hat, flying, youthful, adventurous"
33,Piglet,"Pink, small, striped, timid, soft"
34,Pikachu,"Yellow, electric, mouse, cheek pouches, tail"
35,Princess Jasmine,"Turquoise outfit, long black hair, tiara, Arabian, elegant"
36,Puss in boots,"Boots, hat, cape, sword, whiskers"
37,Rapunzel,"Long hair, blonde, fair-skinned, youthful, slender"
38,Snow White,"Snow White, fair skin, black hair, red lips, blue and yellow dress"
39,Sonic The Hedgehog,"Blue, spiky, sneakers, speed, anthropomorphic"
40,Spider-Man,"Red suit, web pattern, spider emblem, mask, agile"
41,SpongeBob SquarePants,"Square, yellow, porous, shorts, tie"
42,Squirtle,"Blue, turtle, shell, tail, water"
43,Thanos,"Purple, muscular, gauntlet, titan, armor"
44,Thor,"Hammer, cape, muscular, long hair, beard"
45,Tinker Bell,"Fairy, wings, green dress, blonde hair, pixie dust"
46,Wall-E,"Compact, robotic, rusty, expressive eyes, box-shaped"
47,Winnie-the-Pooh ,"Yellow, Red shirt, Plump, Cuddly, Bear"
48,Woody,"Cowboy hat, sheriff badge, pull string, plaid shirt, boots"
49,Yoda,"Green, small, wise, wrinkled, pointy ears"
