,target,prompt
0,Ariel,Ariel
1,Astro Boy,Astro Boy
2,Batman,Batman
3,Black Panther,Black Panther
4,Bulbasaur,Bulbasaur
5,Buzz Lightyear,Buzz Lightyear
6,Captain America,Captain America
7,Chun-Li,Chun-Li
8,Cinderella,Cinderella
9,Cuphead,Cuphead
10,Donald Duck,Donald Duck
11,Doraemon,Doraemon
12,Elsa,Elsa
13,Goofy,Goofy
14,Groot,Groot
15,Hulk,Hulk
16,Iron Man,Iron Man
17,Judy Hopps,Judy Hopps
18,Kirby,Kirby
19,Kung Fu Panda,Kung Fu Panda
20,Lightning McQueen,Lightning McQueen
21,Link,Link
22,Maleficent,Maleficent
23,Mario,Mario
24,Mickey Mouse,Mickey Mouse
25,Mike Wazowski,Mike Wazowski
26,Monkey D. Luffy,Monkey D. Luffy
27,Mr. Incredible,Mr. Incredible
28,Naruto,Naruto
29,Nemo,Nemo
30,Olaf,Olaf
31,Pac-Man,Pac-Man
32,Peter Pan,Peter Pan
33,Piglet,Piglet
34,Pikachu,Pikachu
35,Princess Jasmine,Princess Jasmine
36,Puss in boots,Puss in boots
37,Rapunzel,Rapunzel
38,Snow White,Snow White
39,Sonic The Hedgehog,Sonic The Hedgehog
40,Spider-Man,Spider-Man
41,SpongeBob SquarePants,SpongeBob SquarePants
42,Squirtle,Squirtle
43,Thanos,Thanos
44,Thor,Thor
45,Tinker Bell,Tinker Bell
46,Wall-E,Wall-E
47,Winnie-the-Pooh ,Winnie-the-Pooh 
48,Woody,Woody
49,Yoda,Yoda
