,target,prompt
0,Ariel,"mermaid
, mermaids
, siren
, fairy
, Fairy
, Tinker Bell
, fairy tale
, princess
, Peter Pan
, fairytale
, Aladdin
, Disney
, star
, sea star
, ocean
, Ocean
, Ethereal
, ethereal
, Neverland
, seaweed
"
1,Astro Boy,"Space ranger
, Star Command
, intergalactic
, space age
, shonen protagonist
, space helmet
, Sonic boom
, twiggy
, Krabby Patty
, Asgardian
, power armor
, space traveler
, Wily
, space suit
, space explorer
, Tinker Bell
, space
, humanoid
, DreamWorks
, Master Sword
"
2,Batman,"batmobile
, bat symbol
, Gotham
, superhero
, bat ears
, batwing
, Bat-signal
, villain
, Batarang
, bat-themed
, Marvel
, dark
, supervillain
, superhero costume
, cat
, black
, Black
, hero
, grim
, pig
"
3,Black Panther,"black
, Black
, black fur
, panther
, Wakanda
, black hair
, black belt
, black pupils
, Black nose
, black robes
, dark beauty
, dark
, dark fairy
, black-tipped
, African
, black-tipped ears
, shadow
, batmobile
, vibranium
, stout
"
4,Bulbasaur,"bulky
, Blastoise
, Venusaur
, Ivysaur
, Wartortle
, hulking
, starter Pokémon
, Hyrule
, ocarina
, Epona
, Krabby Patty
, water type
, bipedal
, stubby
, bugle photographer
, porous
, Hylian
, 1-Up Mushroom
, chunky build
, chiseled
"
5,Buzz Lightyear,"buzz cut
, Space ranger
, Toy Story
, intergalactic
, infinity and beyond
, Buzzing bees
, Tinker Bell
, space explorer
, space traveler
, space suit
, Star Command
, space helmet
, pixie dust
, power armor
, space age
, Blastoise
, Krabby Patty
, bulky
, woody
, mission log
"
6,Captain America,"captain
, Captain Hook
, cap
, Marvel
, Cap.
, Marvel Comics
, American
, Super-Soldier
, superhero
, American flag
, supervillain
, commander
, vibranium
, superhero costume
, armored Avenger
, hulking
, Wakanda
, feathered cap
, Mad Titan
, commanding
"
7,Chun-Li,"kung fu
, Street Fighter
, martial arts tournament
, martial artist
, nunchucks
, Sonic boom
, martial arts
, video game heroine
, Capcom
, Gerudo
, Wily
, shonen protagonist
, lightning kick
, side-scrolling
, Venusaur
, Blastoise
, Namco
, One Piece
, blue qipao
, Asgardian
"
8,Cinderella,"fairytale
, Glass slippers
, princess
, fairy tale
, magical
, Princess Peach
, Tinker Bell
, enchanted
, regal
, Regal
, tiara
, Tiara
, Frozen
, frozen
, Icy
, fairy
, Fairy
, charming
, enchanting
, Enchanting
"
9,Cuphead,"Cup-shaped head
, Cup and mug
, coupe
, cocky
, joystick
, Piston Cup
, outspoken
, Krabby Patty
, cinder
, slapstick
, plucky
, Krabs
, comical
, Game Freak
, Wily
, Sonic boom
, crown
, Crown
, beloved character
, Honey Pot
"
10,Donald Duck,"Walt Disney
, goofy
, Disney
, Disney character
, plucky
, waddle
, gobble
, Krabs
, Wily
, damsel
, Sonic boom
, orange bill
, goof
, Krabby Patty
, American
, mouse
, Clownfish
, royal
, Chic
, Tinker Bell
"
11,Doraemon,"debonair
, Wartortle
, Asgardian
, porous
, Gerudo
, damsel
, goof
, Portly
, Agrabah
, enraged
, Seventh Hokage
, corduroy
, shonen protagonist
, Dodging shots
, enemy Dr. Eggman
, Jovial
, jovial
, mossy
, monstrous
, Eldritch
"
12,Elsa,"Frozen
, frozen
, Icy
, Ice Queen
, siren
, tiara
, Tiara
, fit
, elegant
, Elegant
, snowy
, Iceberg
, Pixar
, Zelda
, Wakanda
, ocean
, Ocean
, Frost
, sea
, Epona
"
13,Goofy,"goofy
, goof
, silly
, funny
, playful
, Playful
, comical
, childish
, quirky
, humorous
, gobble
, playful.
, Disney
, comedy
, Cool
, cool
, jolly
, beloved
, Beloved
, comedic
"
