,target,prompt
0,Ariel,"popular, beauty, bright, cartoon"
1,Astro Boy,"Japanese, anime, manga, cartoon"
2,Batman,"black, dark, night, cartoon"
3,Black Panther,"Black, panther, power, cartoon"
4,Bulbasaur,"game, Pokémon, blue, cartoon"
5,Buzz Lightyear,"toy, Disney, Toy Story, cartoon"
6,Captain America,"red, American, white, cartoon"
7,Chun-Li,"Street Fighter, Capcom, powerful, cartoon"
8,Cinderella,"beauty, prince, dance, cartoon"
9,Cuphead,"Animated, Cartoon, Platformer, cartoon"
10,Donald Duck,"Disney, happy, classic, cartoon"
11,Doraemon,"popular, Japan, anime, cartoon"
12,Elsa,"Cool, Winter, Disney, cartoon"
13,Goofy,"funny, character, dog, cartoon"
14,Groot,"green, natural, ancient, cartoon"
15,Hulk,"Green, Marvel, strong, cartoon"
16,Iron Man,"superhero, iconic, helmet, cartoon"
17,Judy Hopps,"Zootopia, Disney, small, cartoon"
18,Kirby,"small, simple, round, cartoon"
19,Kung Fu Panda,"panda, action, DreamWorks, cartoon"
20,Lightning McQueen,"Disney, popular, Pixar, cartoon"
21,Link,"young, map, cap, cartoon"
22,Maleficent,"fairy tale, elegant, gothic, cartoon"
23,Mario,"Nintendo, Italian, video games, cartoon"
24,Mickey Mouse,"fun, Disney, happy, cartoon"
25,Mike Wazowski,"Mike, Disney, Monsters Inc, cartoon"
26,Monkey D. Luffy,"One Piece, anime, manga, cartoon"
27,Mr. Incredible,"""The Incredibles"", Pixar, superhero, cartoon"
28,Naruto,"Ninja, Friendly, Smile, cartoon"
29,Nemo,"small, white, popular, cartoon"
30,Olaf,"small, white, happy, cartoon"
31,Pac-Man,"level, classic, arcade, cartoon"
32,Peter Pan,"adventures, fantasy, island, cartoon"
33,Piglet,"small, pig, friend, cartoon"
34,Pikachu,"series, Pokémon, small, cartoon"
35,Princess Jasmine,"princess, Aladdin, Disney, cartoon"
36,Puss in boots,"Boots, animated, hero, cartoon"
37,Rapunzel,"beautiful, princess, classic, cartoon"
38,Snow White,"love, beauty, magic, cartoon"
39,Sonic The Hedgehog,"hedgehog, Sega, adventure, cartoon"
40,Spider-Man,"young, New York, superhero, cartoon"
41,SpongeBob SquarePants,"fun, cartoon, Nickelodeon, cartoon"
42,Squirtle,"Pokémon, small, popular, cartoon"
43,Thanos,"Marvel, space, powerful, cartoon"
44,Thor,"powerful, hero, strength, cartoon"
45,Tinker Bell,"Disney, light, Fairy, cartoon"
46,Wall-E,"short, small, film, cartoon"
47,Winnie-the-Pooh ,"Simple, Classic, Bear, cartoon"
48,Woody,"star, wood, character, cartoon"
49,Yoda,"Star Wars, The Mandalorian, small, cartoon"
